player_id,name,position_group_raw,age_at_valuation,current_club_id,minutes_last_season,target_market_value,predicted_value,undervalued_pct,undervalued_pct_formatted
608760,Arinaldo Rrapaj,Midfielder,24.358658453114305,48332,2096.0,700000,10777859.0,14.396941428571427,1439.7%
734424,Luca Stephenson,Midfielder,22.46406570841889,1519,2632.0,1000000,11468574.0,10.468574,1046.9%
694039,Nils Rossen,Midfielder,21.607118412046542,1434,2636.0,600000,5957022.0,8.92837,892.8%
618083,Sem Scheperman,Midfielder,23.44147843942505,1304,2112.0,700000,5734355.0,7.191935714285714,719.2%
1061628,Yevgeniy Pastukh,Midfielder,22.00958247775496,63007,2637.0,1000000,8123638.5,7.1236385,712.4%
799924,Asker Beck,Midfielder,22.44216290212184,1063,1274.0,600000,4415422.5,6.3590375,635.9%
640565,Mohamed Nassoh,Midfielder,23.1211498973306,132,1816.0,700000,5105662.0,6.2938028571428575,629.4%
982081,Oluwaseun Adewumi,Midfielder,20.79397672826831,520,1919.0,600000,4364381.0,6.273968333333333,627.4%
470606,Leighton Clarkson,Midfielder,22.611909650924023,370,2718.0,1000000,6897322.5,5.8973225,589.7%
647281,Dylan Tait,Midfielder,24.257357973990416,1191,2291.0,500000,3440587.8,5.8811755,588.1%
